,box date,month,wkday,game type,game count,list of games
,2018-05-05,May,Sat,Regular Season,15,HOU-ARI ... SFN-ATL ... MIA-CIN ... PIT-MIL ... COL-NYN ... LAN-SDN ... CHN-SLN ... PHI-WAS ... MIN-CHA ... DET-KCA ... CLE-NYA ... BAL-OAK ... ANA-SEA ... TOR-TBA ... BOS-TEX
,2018-05-06,May,Sun,Regular Season,15,HOU-ARI ... SFN-ATL ... MIA-CIN ... PIT-MIL ... COL-NYN ... LAN-SDN ... CHN-SLN ... PHI-WAS ... MIN-CHA ... DET-KCA ... CLE-NYA ... BAL-OAK ... ANA-SEA ... TOR-TBA ... BOS-TEX
,2018-05-07,May,Mon,Regular Season,7,MIA-CHN ... NYN-CIN ... SFN-PHI ... WAS-SDN ... MIN-SLN ... HOU-OAK ... DET-TEX
,2018-05-08,May,Tue,Regular Season,15,MIA-CHN ... NYN-CIN ... ANA-COL ... ARI-LAN ... CLE-MIL ... SFN-PHI ... WAS-SDN ... MIN-SLN ... KCA-BAL ... PIT-CHA ... BOS-NYA ... HOU-OAK ... ATL-TBA ... DET-TEX ... SEA-TOR
,2018-05-09,May,Wed,Regular Season,14,MIA-CHN ... NYN-CIN ... ANA-COL ... ARI-LAN ... CLE-MIL ... SFN-PHI ... WAS-SDN ... KCA-BAL ... PIT-CHA ... BOS-NYA ... HOU-OAK ... ATL-TBA ... DET-TEX ... SEA-TOR
,2018-05-10,May,Thu,Regular Season,10,WAS-ARI ... MIL-COL ... CIN-LAN ... ATL-MIA ... SFN-PHI ... SLN-SDN ... MIN-ANA ... KCA-BAL ... BOS-NYA ... SEA-TOR
,2018-05-11,May,Fri,Regular Season,14,WAS-ARI ... CHA-CHN ... MIL-COL ... CIN-LAN ... ATL-MIA ... NYN-PHI ... SFN-PIT ... SLN-SDN ... MIN-ANA ... TBA-BAL ... KCA-CLE ... TEX-HOU ... OAK-NYA ... BOS-TOR
,2018-05-12,May,Sat,Regular Season,16,WAS-ARI ... CHA-CHN ... MIL-COL ... CIN-LAN ... ATL-MIA ... SFN-PIT ... SLN-SDN ... MIN-ANA ... TBA-BAL ... TBA-BAL ... KCA-CLE ... SEA-DET ... SEA-DET ... TEX-HOU ... OAK-NYA ... BOS-TOR
,2018-05-13,May,Sun,Regular Season,15,WAS-ARI ... CHA-CHN ... MIL-COL ... CIN-LAN ... ATL-MIA ... NYN-PHI ... SFN-PIT ... SLN-SDN ... MIN-ANA ... TBA-BAL ... KCA-CLE ... SEA-DET ... TEX-HOU ... OAK-NYA ... BOS-TOR
,2018-05-14,May,Mon,Regular Season,9,MIL-ARI ... ATL-CHN ... COL-SDN ... CIN-SFN ... HOU-ANA ... OAK-BOS ... CLE-DET ... TBA-KCA ... SEA-MIN
,2018-05-15,May,Tue,Regular Season,14,MIL-ARI ... CHN-ATL ... LAN-MIA ... TOR-NYN ... CHA-PIT ... COL-SDN ... CIN-SFN ... NYA-WAS ... HOU-ANA ... OAK-BOS ... CLE-DET ... TBA-KCA ... SLN-MIN ... TEX-SEA
,2018-05-16,May,Wed,Regular Season,13,MIL-ARI ... CHN-ATL ... LAN-MIA ... TOR-NYN ... CHA-PIT ... CIN-SFN ... HOU-ANA ... PHI-BAL ... OAK-BOS ... CLE-DET ... TBA-KCA ... SLN-MIN ... TEX-SEA
,2018-05-17,May,Thu,Regular Season,9,LAN-MIA ... SDN-PIT ... COL-SFN ... PHI-SLN ... TBA-ANA ... BAL-BOS ... TEX-CHA ... DET-SEA ... OAK-TOR
,2018-05-18,May,Fri,Regular Season,14,MIA-ATL ... CHN-CIN ... ARI-NYN ... SDN-PIT ... COL-SFN ... PHI-SLN ... TBA-ANA ... BAL-BOS ... TEX-CHA ... CLE-HOU ... NYA-KCA ... MIL-MIN ... DET-SEA ... OAK-TOR
